NOTE: THIS SPREADSHEET IS FREE - you have to USE the FILE Menu: MAKE A COPY to get your own copy free!,,,,,,,,,,,,,,,,,,
Source: SpreadsheetMan,,SpreadsheetMan Wine Bottle Inventory Tracker,,,,,,,,,,,,,,,,
12/28/2019,Producer,Type / Varietal,Vintage,Name,Vineyard,Country,Region,sub-region,town/village,Bottles owned,purchase date,Bottle Size,Comment,buying and tasting notes,WS Rtg,RP Rtg,WS Timing,RP Timing
y,Chateau Peyrabon,Bordeaux,2012,,,France,Haut-Medoc,,,1,,750 ml,,,,,,
y,Chateau Tour Saint Christophe,Bordeaux,2014,,,France,Saint Emilion,,,2,,750 ml,,,,,,
y,Chateau Haut-Bergey,Bordeaux,2012,,,France,Pessac-leognan,,,1,,750 ml,,,,,,
y,Chateau Devise d'Ardilley,Bordeaux,2014,,,France,Bordeaux Superior,,,3,,750 ml,,,,,,
y,Chateau D'Hanteillan,Bordeaux,2014,,,France,Haut-Medoc,,,2,,750 ml,,,,,,
y,Chateau Bruni,Bordeaux,2014,,,France,Bordeaux Superior,,,1,,750 ml,,,,,,
y,Chateau Haut Barrail,Bordeaux,2014,,,France,Medoc,,,1,,750 ml,,,,,,
y,Chateau Latour Camblanes,Bordeaux,2015,,,France,Bordeaux Superior,,,1,,750 ml,,,,,,
y,Chateau de Bouchet,Bordeaux,2016,La Rentiere - Marc Lurton,,France,Bordeaux Superior,,,1,,750 ml,,,,,,
y,Chateau Reynier,Bordeaux,2015,Marc Lurton,,France,Bordeaux Superior,,,1,,750 ml,,,,,,
y,Chateau Reynier,Bordeaux,2016,Marc Lurton,,France,Bordeaux Superior,,,1,,750 ml,,,,,,
y,Wolf Nickel,Bordeaux,2007,,,US,,,,1,,750 ml,,,,,,
y,Silver Oak,Cabernet,2012,,,US,Alexander Valley,,,1,,,,,,,,
y,Etude,Merlot,2002,,,US,Napa,,,1,,,,,,,,
y,Caymus,Cabernet,2015,,,US,Napa,Rutherford,,1,,,,,,,,
y,Caymus,Cabernet,2016,,,US,Napa,Fairfield,,1,,,,,,,,
y,Caymus,Cabernet,2013,,,US,Napa,Rutherford,,1,,1 Liter,,,,,,
y,Joseph Phelps Insignia,Cabernet,1993,Insignia,,US,Napa,,,1,,,,,,,,
y,Joseph Phelps Insignia,Cabernet,1994,Insignia,,US,Napa,,,1,,,,,,,,
y,Opus One,Cabernet,1994,,,US,Napa,,,1,,,,,,,,
